DATAFLOW,LAST UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 21 countries (from 2026),2017,9.1,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 21 countries (from 2026),2018,8.2,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 21 countries (from 2026),2019,7.6,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 21 countries (from 2026),2020,7.9,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 21 countries (from 2026),2021,7.7,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 21 countries (from 2026),2022,6.7,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 21 countries (from 2026),2023,6.5,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 21 countries (from 2026),2024,6.3,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 21 countries (from 2026),2025,6.3,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Estonia,2015,6.4,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Estonia,2016,6.8,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Estonia,2017,5.8,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Estonia,2018,5.4,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Estonia,2019,4.5,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Estonia,2020,6.9,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Estonia,2021,6.2,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Estonia,2022,5.6,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Estonia,2023,6.4,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Estonia,2024,7.6,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Estonia,2025,7.5,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Greece,2015,25.0,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Greece,2016,23.9,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Greece,2017,21.8,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Greece,2018,19.7,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Greece,2019,17.9,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Greece,2020,17.6,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Greece,2021,14.7,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Greece,2022,12.5,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Greece,2023,11.1,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Greece,2024,10.1,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Greece,2025,8.9,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2015,22.1,,
ESTAT:TESEM120(1.0),29/04/26 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2016,19.6,,
